"","suicides.100k.pop","sexfemale","sexmale","age15.24.years","age25.34.years","age35.54.years","age5.14.years","age55.74.years","age75..years"
"4079",15.27,0,1,0,0,1,0,0,0
"4080",6.18,0,1,1,0,0,0,0,0
"4081",6.09,1,0,0,0,1,0,0,0
"4082",0,1,0,1,0,0,0,0,0
"4083",0,1,0,0,1,0,0,0,0
"4084",0,1,0,0,0,0,1,0,0
"4085",0,1,0,0,0,0,0,1,0
"4086",0,1,0,0,0,0,0,0,1
"4087",0,0,1,0,0,0,1,0,0
"4088",0,0,1,0,0,0,0,0,1
"4473",19.02,0,1,0,0,0,0,0,1
"4474",11.43,0,1,0,0,0,0,1,0
"4475",10.76,0,1,0,1,0,0,0,0
"4476",10.55,0,1,0,0,1,0,0,0
"4477",7.27,0,1,1,0,0,0,0,0
"4478",3.21,1,0,0,0,1,0,0,0
"4479",2.69,1,0,0,0,0,0,1,0
"4480",2.69,1,0,0,0,0,0,0,1
"4481",2.37,1,0,0,1,0,0,0,0
"4482",2.13,1,0,1,0,0,0,0,0
"4483",0.32,0,1,0,0,0,1,0,0
"4484",0.29,1,0,0,0,0,1,0,0
"4845",61.01,0,1,0,0,0,0,0,1
"4846",27.16,0,1,0,0,0,0,1,0
"4847",19.09,0,1,0,0,1,0,0,0
"4848",16.36,1,0,0,0,0,0,0,1
"4849",10.06,0,1,0,1,0,0,0,0
"4850",7.56,1,0,0,0,0,0,1,0
"4851",7.49,0,1,1,0,0,0,0,0
"4852",5.37,1,0,0,0,1,0,0,0
"4853",2.05,1,0,0,1,0,0,0,0
"4854",1.8,1,0,1,0,0,0,0,0
"4855",0.3,0,1,0,0,0,1,0,0
"4856",0,1,0,0,0,0,1,0,0
"5217",25.39,0,1,0,0,1,0,0,0
"5218",21.79,0,1,0,0,0,0,0,1
"5219",20.7,0,1,0,0,0,0,1,0
"5220",17.28,0,1,0,1,0,0,0,0
"5221",15.73,0,1,1,0,0,0,0,0
"5222",7.97,1,0,0,0,1,0,0,0
"5223",6.75,1,0,0,0,0,0,1,0
"5224",6.59,1,0,0,1,0,0,0,0
"5225",5.13,1,0,1,0,0,0,0,0
"5226",3.64,1,0,0,0,0,0,0,1
"5227",0.99,0,1,0,0,0,1,0,0
"5228",0.71,1,0,0,0,0,1,0,0
"5565",40.59,0,1,0,0,0,0,0,1
"5566",26.05,0,1,0,0,1,0,0,0
"5567",23.8,0,1,0,1,0,0,0,0
"5568",23.48,0,1,0,0,0,0,1,0
"5569",21.83,0,1,1,0,0,0,0,0
"5570",6.47,1,0,1,0,0,0,0,0
"5571",6.39,1,0,0,0,1,0,0,0
"5572",6.2,1,0,0,1,0,0,0,0
"5573",3.44,1,0,0,0,0,0,1,0
"5574",2.47,1,0,0,0,0,0,0,1
"5575",1.37,0,1,0,0,0,1,0,0
"5576",0.79,1,0,0,0,0,1,0,0
"5937",15.54,0,1,0,0,0,0,0,1
"5938",11.54,0,1,0,1,0,0,0,0
"5939",11.23,0,1,1,0,0,0,0,0
"5940",9.63,0,1,0,0,0,0,1,0
"5941",8.2,0,1,0,0,1,0,0,0
"5942",4.5,1,0,1,0,0,0,0,0
"5943",2.03,1,0,0,1,0,0,0,0
"5944",1.19,1,0,0,0,1,0,0,0
"5945",0.98,0,1,0,0,0,1,0,0
"5946",0.97,1,0,0,0,0,1,0,0
"5947",0.84,1,0,0,0,0,0,0,1
"5948",0.59,1,0,0,0,0,0,1,0
"6309",19.92,0,1,0,1,0,0,0,0
"6310",18.24,0,1,0,0,1,0,0,0
"6311",13.09,0,1,0,0,0,0,1,0
"6312",12.09,0,1,0,0,0,0,0,1
"6313",9.52,0,1,1,0,0,0,0,0
"6314",3.29,1,0,0,1,0,0,0,0
"6315",2.7,1,0,0,0,1,0,0,0
"6316",2.47,1,0,1,0,0,0,0,0
"6317",1.74,1,0,0,0,0,0,1,0
"6318",1.29,0,1,0,0,0,1,0,0
"6319",0,1,0,0,0,0,1,0,0
"6320",0,1,0,0,0,0,0,0,1
"6549",86.69,0,1,0,0,0,0,0,1
"6550",46.55,0,1,0,0,0,0,1,0
"6551",29.9,0,1,0,0,1,0,0,0
"6552",20.75,1,0,0,0,0,0,0,1
"6553",14.66,0,1,1,0,0,0,0,0
"6554",13.9,0,1,0,1,0,0,0,0
"6555",13.84,1,0,0,0,0,0,1,0
"6556",7.97,1,0,0,0,1,0,0,0
"6557",4.97,1,0,1,0,0,0,0,0
"6558",2.29,1,0,0,1,0,0,0,0
"6559",0.45,1,0,0,0,0,1,0,0
"6560",0,0,1,0,0,0,1,0,0
"6847",78.23,0,1,0,0,0,0,0,1
"6848",38.45,0,1,0,0,0,0,1,0
"6849",25.05,0,1,0,0,1,0,0,0
"6850",14.36,0,1,0,1,0,0,0,0
"6851",14.12,1,0,0,0,0,0,1,0
"6852",11.75,1,0,0,0,0,0,0,1
"6853",8.2,0,1,1,0,0,0,0,0
"6854",5.54,1,0,0,0,1,0,0,0
"6855",2.47,1,0,0,1,0,0,0,0
"6856",2.33,1,0,1,0,0,0,0,0
"6857",1.06,1,0,0,0,0,1,0,0
"6858",0.57,0,1,0,0,0,1,0,0
"7015",15.25,0,1,0,0,0,0,0,1
"7016",10.75,0,1,0,1,0,0,0,0
"7017",9.26,0,1,0,0,0,0,1,0
"7018",8.39,0,1,0,0,1,0,0,0
"7019",5.96,0,1,1,0,0,0,0,0
"7020",4.65,1,0,1,0,0,0,0,0
"7021",3.36,1,0,0,0,1,0,0,0
"7022",1.26,1,0,0,0,0,0,1,0
"7023",0,1,0,0,1,0,0,0,0
"7024",0,1,0,0,0,0,1,0,0
"7025",0,1,0,0,0,0,0,0,1
"7026",0,0,1,0,0,0,1,0,0
"7337",47.28,0,1,0,0,0,0,0,1
"7338",35.13,0,1,0,0,0,0,1,0
"7339",31.55,0,1,0,0,1,0,0,0
"7340",19.57,0,1,0,1,0,0,0,0
"7341",14.12,0,1,1,0,0,0,0,0
"7342",8.82,1,0,0,0,0,0,0,1
