"","suicides.100k.pop","sexfemale","sexmale","age15.24.years","age25.34.years","age35.54.years","age5.14.years","age55.74.years","age75..years"
"16114",9.54,0,1,0,1,0,0,0,0
"16115",8.56,0,1,0,0,0,0,1,0
"16116",4.03,1,0,0,0,0,0,1,0
"16117",0,1,0,1,0,0,0,0,0
"16118",0,1,0,0,1,0,0,0,0
"16119",0,1,0,0,0,1,0,0,0
"16120",0,1,0,0,0,0,1,0,0
"16121",0,1,0,0,0,0,0,0,1
"16122",0,0,1,0,0,0,1,0,0
"16483",31.98,0,1,0,0,0,0,0,1
"16484",17.63,0,1,0,1,0,0,0,0
"16485",15.39,0,1,0,0,1,0,0,0
"16486",14.96,0,1,1,0,0,0,0,0
"16487",13.46,0,1,0,0,0,0,1,0
"16488",8.82,1,0,0,1,0,0,0,0
"16489",4.35,1,0,0,0,1,0,0,0
"16490",3.2,1,0,0,0,0,0,1,0
"16491",2.04,1,0,1,0,0,0,0,0
"16492",0,1,0,0,0,0,1,0,0
"16493",0,1,0,0,0,0,0,0,1
"16494",0,0,1,0,0,0,1,0,0
"16865",13.9,0,1,0,0,0,0,0,1
"16866",9.65,0,1,0,1,0,0,0,0
"16867",9.6,0,1,1,0,0,0,0,0
"16868",9.08,0,1,0,0,1,0,0,0
"16869",9.02,0,1,0,0,0,0,1,0
"16870",3.23,1,0,1,0,0,0,0,0
"16871",1.83,1,0,0,1,0,0,0,0
"16872",1.66,1,0,0,0,1,0,0,0
"16873",1.08,1,0,0,0,0,0,1,0
"16874",0.91,0,1,0,0,0,1,0,0
"16875",0.63,1,0,0,0,0,1,0,0
"16876",0.42,1,0,0,0,0,0,0,1
"17367",20.01,0,1,0,0,1,0,0,0
"17368",18.71,0,1,0,0,0,0,1,0
"17369",18.61,0,1,0,0,0,0,0,1
"17370",11.44,0,1,0,1,0,0,0,0
"17371",9.38,0,1,1,0,0,0,0,0
"17372",8.49,1,0,0,0,1,0,0,0
"17373",7.9,1,0,0,0,0,0,1,0
"17374",6.44,1,0,0,0,0,0,0,1
"17375",5.32,1,0,0,1,0,0,0,0
"17376",2.6,1,0,1,0,0,0,0,0
"17377",0.49,0,1,0,0,0,1,0,0
"17378",0.1,1,0,0,0,0,1,0,0
"17749",26.23,0,1,0,0,1,0,0,0
"17750",23.86,0,1,0,1,0,0,0,0
"17751",23.56,0,1,1,0,0,0,0,0
"17752",18.59,0,1,0,0,0,0,0,1
"17753",17.27,0,1,0,0,0,0,1,0
"17754",11.27,1,0,1,0,0,0,0,0
"17755",10.52,1,0,0,1,0,0,0,0
"17756",8.02,1,0,0,0,1,0,0,0
"17757",6.07,1,0,0,0,0,0,0,1
"17758",5.16,1,0,0,0,0,0,1,0
"17759",1.06,1,0,0,0,0,1,0,0
"17760",1.01,0,1,0,0,0,1,0,0
"17797",17.5,0,1,0,0,0,0,0,1
"17798",17.16,0,1,0,1,0,0,0,0
"17799",13.91,0,1,0,0,1,0,0,0
"17800",13.5,0,1,1,0,0,0,0,0
"17801",11.51,0,1,0,0,0,0,1,0
"17802",5.55,1,0,1,0,0,0,0,0
"17803",3.01,1,0,0,1,0,0,0,0
"17804",3,1,0,0,0,1,0,0,0
"17805",1.67,1,0,0,0,0,0,1,0
"17806",1.15,1,0,0,0,0,1,0,0
"17807",0.78,0,1,0,0,0,1,0,0
"17808",0,1,0,0,0,0,0,0,1
"18157",22.71,0,1,0,0,0,0,0,1
"18158",20.56,0,1,0,0,0,0,1,0
"18159",19.37,0,1,0,1,0,0,0,0
"18160",18.62,0,1,0,0,1,0,0,0
"18161",18.13,0,1,1,0,0,0,0,0
"18162",10.08,1,0,0,0,1,0,0,0
"18163",10.05,1,0,0,0,0,0,1,0
"18164",7.76,1,0,0,1,0,0,0,0
"18165",4.63,1,0,0,0,0,0,0,1
"18166",4.2,1,0,1,0,0,0,0,0
"18167",0.32,0,1,0,0,0,1,0,0
"18168",0,1,0,0,0,0,1,0,0
"18241",1.3,0,1,0,0,1,0,0,0
"18242",1.07,0,1,1,0,0,0,0,0
"18243",1.02,0,1,0,0,0,0,1,0
"18244",0.41,0,1,0,1,0,0,0,0
"18245",0,1,0,1,0,0,0,0,0
"18246",0,1,0,0,1,0,0,0,0
"18247",0,1,0,0,0,1,0,0,0
"18248",0,1,0,0,0,0,1,0,0
"18249",0,1,0,0,0,0,0,1,0
"18250",0,1,0,0,0,0,0,0,1
"18251",0,0,1,0,0,0,1,0,0
"18252",0,0,1,0,0,0,0,0,1
"18493",15.3,0,1,0,0,0,0,0,1
"18494",14.05,0,1,0,1,0,0,0,0
"18495",9.75,0,1,0,0,1,0,0,0
"18496",8.97,0,1,0,0,0,0,1,0
"18497",6.86,0,1,1,0,0,0,0,0
"18498",3.72,1,0,0,0,0,0,0,1
"18499",3.54,1,0,1,0,0,0,0,0
"18500",1.81,1,0,0,0,1,0,0,0
"18501",0,1,0,0,1,0,0,0,0
"18502",0,1,0,0,0,0,1,0,0
"18503",0,1,0,0,0,0,0,1,0
"18504",0,0,1,0,0,0,1,0,0
"18829",10.9,0,1,0,0,0,0,0,1
"18830",8.24,0,1,1,0,0,0,0,0
"18831",7.16,0,1,0,1,0,0,0,0
"18832",6.89,0,1,0,0,0,0,1,0
"18833",6.86,0,1,0,0,1,0,0,0
"18834",4.74,1,0,1,0,0,0,0,0
"18835",2.88,1,0,0,0,0,0,0,1
"18836",2.2,1,0,0,0,1,0,0,0
"18837",2.09,1,0,0,0,0,0,1,0
"18838",1.86,1,0,0,1,0,0,0,0
"18839",0.45,1,0,0,0,0,1,0,0
"18840",0.29,0,1,0,0,0,1,0,0
"19045",9.06,0,1,0,0,0,0,0,1
"19046",5.51,0,1,0,1,0,0,0,0
"19047",5.41,0,1,1,0,0,0,0,0
"19048",4.81,0,1,0,0,0,0,1,0
"19049",4.6,0,1,0,0,1,0,0,0
"19050",2.42,1,0,1,0,0,0,0,0
"19051",1.43,1,0,0,1,0,0,0,0
"19052",1.34,1,0,0,0,0,0,0,1
"19053",1.07,1,0,0,0,1,0,0,0
"19054",0.81,1,0,0,0,0,0,1,0
"19055",0.33,0,1,0,0,0,1,0,0
"19056",0.17,1,0,0,0,0,1,0,0
"19285",45.69,0,1,0,0,0,0,1,0
"19286",43.57,0,1,0,0,1,0,0,0
"19287",31.56,0,1,0,0,0,0,0,1
"19288",25.57,0,1,0,1,0,0,0,0
"19289",20.21,0,1,1,0,0,0,0,0
"19290",7.3,1,0,0,0,0,0,1,0
"19291",5.76,1,0,0,0,1,0,0,0
"19292",5.74,1,0,0,0,0,0,0,1
"19293",2.52,1,0,0,1,0,0,0,0
"19294",1.89,1,0,1,0,0,0,0,0
"19295",0.51,0,1,0,0,0,1,0,0
"19296",0.32,1,0,0,0,0,1,0,0
"19621",66.12,0,1,0,0,0,0,0,1
"19622",24.16,0,1,0,0,0,0,1,0
"19623",17.14,0,1,0,0,1,0,0,0
"19624",11.1,1,0,0,0,0,0,0,1
"19625",7.98,0,1,0,1,0,0,0,0
"19626",7.13,1,0,0,0,0,0,1,0
"19627",4.59,0,1,1,0,0,0,0,0
"19628",4.53,1,0,0,0,1,0,0,0
"19629",3.62,1,0,0,1,0,0,0,0
"19630",2.1,1,0,1,0,0,0,0,0
"19631",0.19,1,0,0,0,0,1,0,0
"19632",0.18,0,1,0,0,0,1,0,0
"19981",28,0,1,0,0,0,0,0,1
"19982",22,0,1,0,0,1,0,0,0
"19983",20.34,0,1,0,0,0,0,1,0
"19984",14.85,0,1,0,1,0,0,0,0
"19985",6.18,0,1,1,0,0,0,0,0
"19986",4.15,1,0,0,0,0,0,1,0
"19987",3.89,1,0,0,0,1,0,0,0
"19988",1.55,1,0,0,0,0,0,0,1
"19989",1.48,1,0,0,1,0,0,0,0
"19990",1.4,1,0,1,0,0,0,0,0
"19991",0,1,0,0,0,0,1,0,0
"19992",0,0,1,0,0,0,1,0,0
"20149",4.29,0,1,0,1,0,0,0,0
"20150",4.22,0,1,1,0,0,0,0,0
"20151",3.44,0,1,0,0,1,0,0,0
"20152",0.88,1,0,0,1,0,0,0,0
"20153",0,1,0,1,0,0,0,0,0
"20154",0,1,0,0,0,1,0,0,0
"20155",0,1,0,0,0,0,1,0,0
"20156",0,1,0,0,0,0,0,1,0
"20157",0,1,0,0,0,0,0,0,1
"20158",0,0,1,0,0,0,1,0,0
"20159",0,0,1,0,0,0,0,1,0
"20160",0,0,1,0,0,0,0,0,1
"20531",182.32,0,1,0,0,0,0,0,1
"20532",82.73,0,1,0,0,0,0,1,0
"20533",71.69,1,0,0,0,0,0,0,1
"20534",46.65,0,1,0,0,1,0,0,0
"20535",33.05,0,1,0,1,0,0,0,0
"20536",27.12,1,0,0,0,0,0,1,0
"20537",25.88,1,0,0,1,0,0,0,0
"20538",20.75,1,0,0,0,1,0,0,0
"20539",14.05,0,1,1,0,0,0,0,0
"20540",11.86,1,0,1,0,0,0,0,0
"20541",1.22,1,0,0,0,0,1,0,0
"20542",0.88,0,1,0,0,0,1,0,0
"20855",35.59,0,1,0,0,0,0,1,0
"20856",32.75,0,1,0,0,1,0,0,0
"20857",29.43,0,1,0,0,0,0,0,1
"20858",15.16,0,1,0,1,0,0,0,0
"20859",11.84,0,1,1,0,0,0,0,0
"20860",7.3,1,0,0,0,0,0,1,0
"20861",6.85,1,0,0,0,0,0,0,1
"20862",4.82,1,0,0,0,1,0,0,0
"20863",2.65,1,0,1,0,0,0,0,0
"20864",2.18,1,0,0,1,0,0,0,0
"20865",0.99,0,1,0,0,0,1,0,0
"20866",0.48,1,0,0,0,0,1,0,0
"21189",74.43,0,1,0,0,0,0,0,1
"21190",57.1,0,1,0,1,0,0,0,0
"21191",52.08,0,1,0,0,1,0,0,0
"21192",46.34,0,1,0,0,0,0,1,0
"21193",37.3,0,1,1,0,0,0,0,0
"21194",18.23,1,0,0,0,0,0,0,1
"21195",8,1,0,0,0,0,0,1,0
"21196",7.78,1,0,0,1,0,0,0,0
"21197",7.67,1,0,0,0,1,0,0,0
"21198",7.45,1,0,1,0,0,0,0,0
"21199",1.87,0,1,0,0,0,1,0,0
"21200",0.96,1,0,0,0,0,1,0,0
"21573",19.52,0,1,0,0,0,0,1,0
"21574",6.38,1,0,1,0,0,0,0,0
"21575",4.41,0,1,0,0,1,0,0,0
"21576",0,1,0,0,1,0,0,0,0
"21577",0,1,0,0,0,1,0,0,0
"21578",0,1,0,0,0,0,1,0,0
"21579",0,1,0,0,0,0,0,1,0
"21580",0,1,0,0,0,0,0,0,1
"21581",0,0,1,1,0,0,0,0,0
"21582",0,0,1,0,1,0,0,0,0
"21583",0,0,1,0,0,0,1,0,0
"21584",0,0,1,0,0,0,0,0,1
"21861",44.79,0,1,0,1,0,0,0,0
"21862",10.04,0,1,0,0,0,1,0,0
"21863",0,1,0,1,0,0,0,0,0
"21864",0,1,0,0,1,0,0,0,0
"21865",0,1,0,0,0,1,0,0,0
"21866",0,1,0,0,0,0,1,0,0
"21867",0,1,0,0,0,0,0,1,0
"21868",0,1,0,0,0,0,0,0,1
"21869",0,0,1,1,0,0,0,0,0
"21870",0,0,1,0,0,1,0,0,0
"21871",0,0,1,0,0,0,0,1,0
"21872",0,0,1,0,0,0,0,0,1
"22113",93.52,0,1,0,0,0,0,0,1
"22114",42.51,0,1,0,0,0,0,1,0
"22115",26.59,1,0,0,0,0,0,0,1
"22116",25.65,0,1,0,0,1,0,0,0
"22117",14.79,0,1,0,1,0,0,0,0
"22118",13.77,1,0,0,0,0,0,1,0
"22119",6.36,0,1,1,0,0,0,0,0
"22120",6.35,1,0,0,0,1,0,0,0
"22121",3.56,1,0,0,1,0,0,0,0
"22122",1.38,1,0,1,0,0,0,0,0
"22123",0,1,0,0,0,0,1,0,0
"22124",0,0,1,0,0,0,1,0,0
"22329",28.43,0,1,0,0,1,0,0,0
"22330",23.56,0,1,0,1,0,0,0,0
"22331",0,1,0,1,0,0,0,0,0
"22332",0,1,0,0,1,0,0,0,0
"22333",0,1,0,0,0,1,0,0,0
"22334",0,1,0,0,0,0,1,0,0
"22335",0,1,0,0,0,0,0,1,0
"22336",0,1,0,0,0,0,0,0,1
"22337",0,0,1,1,0,0,0,0,0
"22338",0,0,1,0,0,0,1,0,0
"22339",0,0,1,0,0,0,0,1,0
"22340",0,0,1,0,0,0,0,0,1
"22701",50.66,0,1,0,0,0,0,0,1
"22702",15.2,0,1,0,0,0,0,1,0
"22703",15.04,0,1,0,0,1,0,0,0
"22704",14.83,1,0,0,0,0,0,0,1
"22705",8.51,1,0,0,0,0,0,1,0
"22706",7.29,0,1,0,1,0,0,0,0
"22707",5.39,1,0,0,0,1,0,0,0
"22708",5.14,1,0,1,0,0,0,0,0
"22709",4.04,1,0,0,1,0,0,0,0
"22710",2.71,0,1,1,0,0,0,0,0
"22711",0.42,0,1,0,0,0,1,0,0
"22712",0,1,0,0,0,0,1,0,0
"22989",35.05,0,1,0,0,0,0,0,1
"22990",30.67,0,1,0,0,1,0,0,0
"22991",30.66,0,1,0,0,0,0,1,0
"22992",16.09,0,1,0,1,0,0,0,0
"22993",10.63,0,1,1,0,0,0,0,0
"22994",5.71,1,0,0,0,0,0,0,1
"22995",5.02,1,0,0,0,1,0,0,0
"22996",4.44,1,0,0,0,0,0,1,0
"22997",1.85,1,0,1,0,0,0,0,0
"22998",1.77,1,0,0,1,0,0,0,0
"22999",1.42,0,1,0,0,0,1,0,0
"23000",0.37,1,0,0,0,0,1,0,0
"23217",96.29,0,1,0,0,0,0,0,1
"23218",49.14,0,1,0,0,0,0,1,0
"23219",38.39,0,1,0,0,1,0,0,0
"23220",20.64,0,1,1,0,0,0,0,0
"23221",19.88,0,1,0,1,0,0,0,0
"23222",14.94,1,0,0,0,0,0,1,0
"23223",11.49,1,0,0,0,0,0,0,1
"23224",8.39,1,0,0,0,1,0,0,0
"23225",3.44,1,0,0,1,0,0,0,0
"23226",2.1,0,1,0,0,0,1,0,0
"23227",0.89,1,0,1,0,0,0,0,0
"23228",0,1,0,0,0,0,1,0,0
"23457",3.6,0,1,0,0,0,0,0,1
"23458",2.31,0,1,0,1,0,0,0,0
"23459",1.69,0,1,0,0,0,0,1,0
"23460",1.59,0,1,0,0,1,0,0,0
"23461",1.08,0,1,1,0,0,0,0,0
"23462",0.77,1,0,0,0,0,0,0,1
"23463",0.63,1,0,1,0,0,0,0,0
"23464",0.48,1,0,0,0,1,0,0,0
"23465",0.45,1,0,0,1,0,0,0,0
"23466",0.3,1,0,0,0,0,0,1,0
"23467",0.15,0,1,0,0,0,1,0,0
"23468",0.04,1,0,0,0,0,1,0,0
"23829",31.4,0,1,0,0,0,0,0,1
"23830",15.06,0,1,0,0,0,0,1,0
"23831",13.53,0,1,0,0,1,0,0,0
"23832",7.28,0,1,0,1,0,0,0,0
"23833",4.92,1,0,0,0,0,0,0,1
"23834",4.45,1,0,0,0,0,0,1,0
"23835",4.03,0,1,1,0,0,0,0,0
"23836",4,1,0,0,0,1,0,0,0
"23837",1.66,1,0,0,1,0,0,0,0
"23838",0.98,1,0,1,0,0,0,0,0
"23839",0.13,0,1,0,0,0,1,0,0
"23840",0,1,0,0,0,0,1,0,0
"24309",100.12,0,1,0,0,0,0,0,1
"24310",59.19,1,0,0,0,0,0,0,1
"24311",58.44,0,1,0,0,1,0,0,0
"24312",48.26,0,1,0,1,0,0,0,0
"24313",39.18,0,1,0,0,0,0,1,0
"24314",37.41,0,1,1,0,0,0,0,0
"24315",21.82,1,0,1,0,0,0,0,0
"24316",20.86,1,0,0,0,1,0,0,0
"24317",18.02,1,0,0,1,0,0,0,0
"24318",9.97,1,0,0,0,0,0,1,0
"24319",8.2,1,0,0,0,0,1,0,0
"24320",3.83,0,1,0,0,0,1,0,0
"24645",31.66,0,1,0,0,0,0,0,1
"24646",25.18,0,1,0,0,0,0,1,0
"24647",21.98,0,1,0,0,1,0,0,0
"24648",17.87,0,1,0,1,0,0,0,0
"24649",13.61,0,1,1,0,0,0,0,0
"24650",9.87,1,0,0,0,0,0,1,0
"24651",8.1,1,0,0,0,1,0,0,0
"24652",7.08,1,0,0,0,0,0,0,1
"24653",5.49,1,0,0,1,0,0,0,0
"24654",5.1,1,0,1,0,0,0,0,0
"24655",0.41,1,0,0,0,0,1,0,0
"24656",0.19,0,1,0,0,0,1,0,0
"24907",47.5,0,1,0,0,0,0,0,1
"24908",27.62,0,1,0,0,0,0,1,0
"24909",22,0,1,0,0,1,0,0,0
"24910",14.25,0,1,0,1,0,0,0,0
"24911",11.42,1,0,0,0,0,0,1,0
"24912",9.94,0,1,1,0,0,0,0,0
"24913",9.21,1,0,0,0,0,0,0,1
"24914",8.63,1,0,0,0,1,0,0,0
"24915",6.16,1,0,0,1,0,0,0,0
"24916",3.3,1,0,1,0,0,0,0,0
"24917",0.49,0,1,0,0,0,1,0,0
"24918",0,1,0,0,0,0,1,0,0
"25231",18.41,0,1,0,0,0,0,0,1
"25232",13,0,1,0,1,0,0,0,0
"25233",12.54,0,1,0,0,0,0,1,0
"25234",11.91,0,1,0,0,1,0,0,0
"25235",7.89,0,1,1,0,0,0,0,0
"25236",3.58,1,0,0,0,0,0,0,1
"25237",3.47,1,0,0,0,0,0,1,0
"25238",3.33,1,0,0,0,1,0,0,0
"25239",3.13,1,0,0,1,0,0,0,0
"25240",2.55,1,0,1,0,0,0,0,0
"25241",0.36,0,1,0,0,0,1,0,0
"25242",0.33,1,0,0,0,0,1,0,0
"25613",32.57,0,1,0,1,0,0,0,0
"25614",27.32,0,1,0,0,0,0,0,1
"25615",26.49,0,1,0,0,1,0,0,0
"25616",22.26,0,1,0,0,0,0,1,0
"25617",15.32,0,1,1,0,0,0,0,0
"25618",8.29,1,0,1,0,0,0,0,0
"25619",7.74,1,0,0,1,0,0,0,0
"25620",4.36,1,0,0,0,1,0,0,0
"25621",3.9,1,0,0,0,0,0,1,0
"25622",1.14,1,0,0,0,0,1,0,0
"25623",1.11,0,1,0,0,0,1,0,0
"25624",0,1,0,0,0,0,0,0,1
"25649",7.49,0,1,0,0,0,0,0,1
"25650",4.26,0,1,0,0,1,0,0,0
"25651",4.24,0,1,0,0,0,0,1,0
"25652",3.9,0,1,0,1,0,0,0,0
"25653",3.71,0,1,1,0,0,0,0,0
"25654",2.28,1,0,0,0,0,0,0,1
"25655",1.55,1,0,1,0,0,0,0,0
"25656",1.26,1,0,0,0,0,0,1,0
"25657",1.2,1,0,0,0,1,0,0,0
"25658",0.99,1,0,0,1,0,0,0,0
"25659",0.41,0,1,0,0,0,1,0,0
"25660",0.4,1,0,0,0,0,1,0,0
"25997",9.53,0,1,0,1,0,0,0,0
"25998",7.57,0,1,1,0,0,0,0,0
"25999",6.78,0,1,0,0,0,0,0,1
"26000",6.26,0,1,0,0,1,0,0,0
"26001",5.59,0,1,0,0,0,0,1,0
"26002",4.02,1,0,1,0,0,0,0,0
"26003",2.12,1,0,0,1,0,0,0,0
"26004",1.5,1,0,0,0,1,0,0,0
"26005",1.05,1,0,0,0,0,1,0,0
"26006",0.92,1,0,0,0,0,0,1,0
"26007",0.41,0,1,0,0,0,1,0,0
"26008",0,1,0,0,0,0,0,0,1
"26345",61.51,0,1,0,0,0,0,0,1
"26346",47.26,0,1,0,0,0,0,1,0
"26347",45.99,0,1,0,0,1,0,0,0
"26348",40.59,0,1,0,1,0,0,0,0
"26349",25.77,0,1,1,0,0,0,0,0
"26350",15.02,1,0,0,0,0,0,0,1
"26351",8.17,1,0,0,0,0,0,1,0
"26352",6.61,1,0,0,0,1,0,0,0
"26353",4.93,1,0,1,0,0,0,0,0
"26354",4.81,1,0,0,1,0,0,0,0
"26355",1.66,0,1,0,0,0,1,0,0
"26356",0.75,1,0,0,0,0,1,0,0
"26465",9.46,0,1,0,0,0,0,0,1
"26466",2.82,0,1,0,0,0,0,1,0
"26467",2.38,1,0,0,1,0,0,0,0
"26468",1.8,1,0,0,0,0,0,1,0
"26469",1.72,0,1,0,1,0,0,0,0
"26470",1.56,1,0,1,0,0,0,0,0
"26471",1.41,0,1,0,0,1,0,0,0
"26472",1.37,0,1,1,0,0,0,0,0
"26473",0.19,1,0,0,0,1,0,0,0
"26474",0,1,0,0,0,0,1,0,0
"26475",0,1,0,0,0,0,0,0,1
"26476",0,0,1,0,0,0,1,0,0
"26777",16.8,0,1,0,0,1,0,0,0
"26778",12.43,0,1,0,1,0,0,0,0
"26779",11.58,0,1,0,0,0,0,0,1
"26780",11.28,0,1,0,0,0,0,1,0
"26781",8.14,0,1,1,0,0,0,0,0
"26782",4.55,1,0,0,0,1,0,0,0
"26783",3.53,1,0,0,0,0,0,1,0
"26784",3.31,1,0,0,1,0,0,0,0
"26785",3.02,1,0,0,0,0,0,0,1
"26786",2.65,1,0,1,0,0,0,0,0
"26787",0.09,1,0,0,0,0,1,0,0
"26788",0.03,0,1,0,0,0,1,0,0
"27149",36.03,0,1,0,0,0,0,0,1
"27150",27.49,0,1,0,0,1,0,0,0
"27151",26.34,0,1,0,0,0,0,1,0
"27152",22.76,0,1,0,1,0,0,0,0
"27153",16.79,0,1,1,0,0,0,0,0
"27154",8.44,1,0,0,0,1,0,0,0
"27155",6.83,1,0,0,0,0,0,1,0
"27156",5.41,1,0,0,1,0,0,0,0
"27157",3.88,1,0,1,0,0,0,0,0
"27158",3.61,1,0,0,0,0,0,0,1
"27159",0.88,0,1,0,0,0,1,0,0
"27160",0.43,1,0,0,0,0,1,0,0
"27497",87.16,0,1,0,0,0,0,0,1
"27498",41.26,0,1,0,0,0,0,1,0
"27499",32.49,0,1,0,1,0,0,0,0
"27500",26.28,0,1,1,0,0,0,0,0
"27501",24.86,0,1,0,0,1,0,0,0
"27502",13.61,1,0,0,0,0,0,1,0
"27503",9.31,1,0,0,0,0,0,0,1
"27504",8.89,1,0,0,0,1,0,0,0
"27505",7.65,1,0,0,1,0,0,0,0
"27506",4.34,1,0,1,0,0,0,0,0
"27507",1.2,1,0,0,0,0,1,0,0
"27508",0.38,0,1,0,0,0,1,0,0
"27761",11.81,0,1,0,0,1,0,0,0
"27762",9.89,0,1,0,1,0,0,0,0
"27763",9.84,0,1,0,0,0,0,1,0
"27764",7.67,0,1,1,0,0,0,0,0
"27765",6.71,1,0,1,0,0,0,0,0
"27766",4.59,0,1,0,0,0,0,0,1
"27767",3.89,1,0,0,1,0,0,0,0
"27768",3.02,1,0,0,0,1,0,0,0
"27769",1.74,0,1,0,0,0,1,0,0
"27770",1.55,1,0,0,0,0,0,0,1
"27771",1.38,1,0,0,0,0,0,1,0
"27772",1.14,1,0,0,0,0,1,0,0
